time="2023-12-25T11:38:59.709" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:38:59.709" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:02.711" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:02.711" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:05.713" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:05.713" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:08.714" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:08.714" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:11.716" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:11.716" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:14.718" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:14.718" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:17.720" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:17.720" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:20.721" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:20.721" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:23.723" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:23.723" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:26.725" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:26.725" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:29.726" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:29.726" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:32.728" level=warning msg="Resource predicate not passed, pod is not running..."
