hostname,value,timestamp,id
node_2,56.087923,1696162851,InSegs
node_2,-148.161071,1696162851,OutSegs
master,450.704576,1696162856,InSegs
master,-613.187326,1696162856,OutSegs
node_3,190.5439594,1696162856,InSegs
node_3,-273.0587927,1696162856,OutSegs
node_1,75.610933,1696162856,InSegs
node_1,-147.988448,1696162856,OutSegs
node_2,150.3121016,1696162856,InSegs
node_2,-235.4389252,1696162856,OutSegs
master,124.4396468,1696162861,InSegs
master,-229.252781,1696162861,OutSegs
node_3,50.0385234,1696162861,InSegs
node_3,-133.6385066,1696162861,OutSegs
node_1,189.283632,1696162861,InSegs
node_1,-263.083632,1696162861,OutSegs
node_2,56.799998,1696162861,InSegs
node_2,-148.200002,1696162861,OutSegs
master,224.212564,1696162866,InSegs
master,-373.19941,1696162866,OutSegs
node_3,154.961477,1696162866,InSegs
node_3,-233.961475,1696162866,OutSegs
node_1,12.5163666,1696162866,InSegs
node_1,-86.1163666,1696162866,OutSegs
node_2,155.600001,1696162866,InSegs
node_2,-238.3999958,1696162866,OutSegs
master,160.236788,1696162871,InSegs
master,-274.281874,1696162871,OutSegs
node_3,54.199998,1696162871,InSegs
node_3,-138,1696162871,OutSegs
node_1,194.199994,1696162871,InSegs
node_1,-266.799996,1696162871,OutSegs
node_2,139.140384,1696162871,InSegs
node_2,-225.881426,1696162871,OutSegs
master,174.892634,1696162876,InSegs
master,-314.724994,1696162876,OutSegs
node_3,146.1167077,1696162876,InSegs
node_3,-224.1167249,1696162876,OutSegs
node_1,26.569444,1696162876,InSegs
node_1,-101.013334,1696162876,OutSegs
node_2,60.3864416,1696162876,InSegs
node_2,-148.2454142,1696162876,OutSegs
master,233.79918,1696162881,InSegs
master,-356.666364,1696162881,OutSegs
node_3,54.5999983,1696162881,InSegs
node_3,-138.1167183,1696162881,OutSegs
node_1,181.0305708,1696162881,InSegs
node_1,-253.7866488,1696162881,OutSegs
node_2,192.7394087,1696162881,InSegs
node_2,-282.8320087,1696162881,OutSegs
master,151.549016,1696162886,InSegs
master,-278.068924,1696162886,OutSegs
node_3,145.2000347,1696162886,InSegs
node_3,-224.0833255,1696162886,OutSegs
node_1,50.906138,1696162886,InSegs
node_1,-126.506138,1696162886,OutSegs
node_2,18.2606462,1696162886,InSegs
node_2,-107.4949148,1696162886,OutSegs
master,253.212396,1696162891,InSegs
master,-387.180238,1696162891,OutSegs
node_3,122.76218,1696162891,InSegs
node_3,-204.8920132,1696162891,OutSegs
node_1,155.8938688,1696162891,InSegs
node_1,-229.89386,1696162891,OutSegs
node_2,205.536972,1696162891,InSegs
node_2,-294.717492,1696162891,OutSegs
master,165.498204,1696162896,InSegs
master,-281.194804,1696162896,OutSegs
node_3,87.9210701,1696162896,InSegs
node_3,-167.3912207,1696162896,OutSegs
node_1,125.11788,1696162896,InSegs
node_1,-199.58566,1696162896,OutSegs
